datetime,close,high,low,open,volume
06-02-2017 00:00,190.1,195.5,189.3,192.5,7376710
07-02-2017 00:00,185.9,192.95,184.05,190.7,10634847
08-02-2017 00:00,189,192.25,186.3,187.5,10372799
09-02-2017 00:00,183.7,190.25,181.95,189.95,13995996
10-02-2017 00:00,182.05,185.7,180.8,185.6,11598507
13-02-2017 00:00,185,187.9,181.6,184.5,17458689
14-02-2017 00:00,187.25,188,184.2,187,11938838
15-02-2017 00:00,184.45,189.95,182.05,187.1,11976086
16-02-2017 00:00,187.75,188.8,182.25,184,10429023
17-02-2017 00:00,183.65,189.3,183,187.95,9231407
20-02-2017 00:00,183.3,185.9,179.75,184,17874216
21-02-2017 00:00,182.45,186.9,181.8,183.35,13307165
22-02-2017 00:00,180.05,184,179.1,183,8976506
23-02-2017 00:00,182.1,183.5,179.3,179.8,11393385
27-02-2017 00:00,180.75,183.15,179.2,182.35,7419931
28-02-2017 00:00,184.35,185.5,180.3,181,10009502
01-03-2017 00:00,189.25,192,184.6,185.15,19044703
02-03-2017 00:00,189.45,196.15,188.2,191.2,22934124
03-03-2017 00:00,198.55,199.75,187.95,188.45,31030530
06-03-2017 00:00,199.55,202.3,196.35,198.7,17600803
07-03-2017 00:00,192.55,199.35,191.6,199.35,17607880
08-03-2017 00:00,190.2,193.4,186.8,192.9,19426738
09-03-2017 00:00,189.2,192,187.8,191,11667482
10-03-2017 00:00,187.6,191.35,187,190.8,9745858
14-03-2017 00:00,190.4,194,188.45,193.5,15425412
15-03-2017 00:00,190.85,192.9,190.05,192.4,11000147
16-03-2017 00:00,198.75,199.4,192.7,194,17634067
17-03-2017 00:00,196.2,200.35,194.65,200,12329364
20-03-2017 00:00,196.2,197.1,191.65,196.7,7107018
21-03-2017 00:00,198.3,199.8,193.25,196,8832703
22-03-2017 00:00,193.4,196.5,192,194.9,17762515
23-03-2017 00:00,193.7,195.2,192.7,194.4,10680580
24-03-2017 00:00,194.9,197,192.25,193.5,11748143
27-03-2017 00:00,188.7,194.55,187.6,193.95,16988411
28-03-2017 00:00,189.6,191.2,188.75,189.5,10087530
29-03-2017 00:00,192.25,193.15,189.6,190.6,9066478
30-03-2017 00:00,190.3,193.55,189.8,192.4,16296796
31-03-2017 00:00,195.05,195.95,190.5,190.8,13264696
03-04-2017 00:00,193.6,196.85,192.35,195.1,7198876
05-04-2017 00:00,198.2,199.2,194.2,194.4,10440883
06-04-2017 00:00,193.95,196.7,191.35,196.7,15667730
07-04-2017 00:00,193.5,197.6,192.35,193.7,14576273
10-04-2017 00:00,195.05,195.5,192.6,194.1,6929296
11-04-2017 00:00,196.45,197,192.6,195.1,9870105
12-04-2017 00:00,193,198,192.1,196.95,14253253
13-04-2017 00:00,183.25,192,182.45,192,20027226
17-04-2017 00:00,181.45,182.95,179.35,182.5,16069287
18-04-2017 00:00,183.8,190.35,183.2,183.7,22344207
19-04-2017 00:00,186,187.2,182.05,183.65,10062015
20-04-2017 00:00,186.45,188.6,184.9,186.95,9335160
21-04-2017 00:00,188.1,190.7,184.6,187.75,13683524
24-04-2017 00:00,190.8,191.7,187.1,188,8934000
25-04-2017 00:00,191.7,193.75,189.15,192.75,8090965
26-04-2017 00:00,197,198.45,192.6,192.6,13469283
27-04-2017 00:00,194.85,197.75,193.7,197.65,9453547
28-04-2017 00:00,199.35,203.7,192.25,193.85,17428449
02-05-2017 00:00,200.25,203.9,198.6,200.85,12542163
03-05-2017 00:00,197.05,201.9,196.45,201.1,7853965
04-05-2017 00:00,192.45,198.85,190.25,197.75,11224342
05-05-2017 00:00,185.8,192,183.4,192,19912601
08-05-2017 00:00,184.2,187.9,181.6,187.6,15591759
09-05-2017 00:00,186.4,188.6,183.1,184.55,11355111
10-05-2017 00:00,187.1,188.55,185.45,187,9459887
11-05-2017 00:00,193.65,195.8,192.05,193.35,23026210
12-05-2017 00:00,191.05,195.35,189.15,194.75,11231977
15-05-2017 00:00,198.45,199.9,191.9,191.95,18159344
16-05-2017 00:00,196.5,198.85,195.5,198.65,10068622
17-05-2017 00:00,198.85,200.35,196.1,196.1,10643485
18-05-2017 00:00,194,196.7,192.3,196,13959394
19-05-2017 00:00,191,196,186,195.95,11428477
22-05-2017 00:00,190.25,194.4,189.15,192.55,9699691
23-05-2017 00:00,192,195.25,184.55,190.6,13372515
24-05-2017 00:00,187.05,193.65,185.1,191.95,11130641
25-05-2017 00:00,190.55,192,185.85,188,9696039
26-05-2017 00:00,198.4,203.15,189.4,190.7,17803837
29-05-2017 00:00,201.25,204.9,197.25,198.3,12516450
30-05-2017 00:00,203.15,210.35,201.15,202.45,27444380
31-05-2017 00:00,200.7,208.25,200,203.95,26247788
01-06-2017 00:00,197.25,201.45,195.25,200.5,12262290
02-06-2017 00:00,197.05,200.2,194.65,198.3,8824329
05-06-2017 00:00,197.1,199.8,195.5,197,7725805
06-06-2017 00:00,195.45,198.15,194.8,197.05,6027099
07-06-2017 00:00,197.2,197.95,194.85,196.05,7822110
08-06-2017 00:00,198.45,200.7,197.1,197.2,7250812
09-06-2017 00:00,202.15,202.9,196.25,198.75,9077091
12-06-2017 00:00,200.6,204.3,198.7,201.15,7589316
13-06-2017 00:00,200.6,203.2,199.5,200.75,6458838
14-06-2017 00:00,200.15,201,196.15,200.6,8933791
15-06-2017 00:00,196.6,200.5,196.1,198.9,8424950
16-06-2017 00:00,195.25,197.7,194.9,196.6,6718837
19-06-2017 00:00,200.85,201.45,196,196.6,6775145
20-06-2017 00:00,202,202.9,199.4,201.95,7011446
21-06-2017 00:00,196.55,200.5,195.7,200.45,10786414
22-06-2017 00:00,191.6,198,191.1,197.55,9349289
23-06-2017 00:00,188.7,191.3,186.6,191.25,14335956
27-06-2017 00:00,187.75,189.9,185.1,189.4,6723293
28-06-2017 00:00,189.85,190.4,185.8,188,8184171
29-06-2017 00:00,192.2,193.6,191.4,192,7868064
30-06-2017 00:00,190.95,192.65,189.4,191.95,7522346
03-07-2017 00:00,196.65,197.8,191.2,191.2,13851222
04-07-2017 00:00,198.4,200.15,197.15,197.35,15943321
05-07-2017 00:00,198.8,200,197.25,198.65,6510422
06-07-2017 00:00,196.65,199.6,196.15,198.05,6864881
07-07-2017 00:00,194.9,197.9,194.55,195.3,7307585
10-07-2017 00:00,195.8,205.15,194,199,3395722
11-07-2017 00:00,200.65,202.3,195.25,195.5,15115931
12-07-2017 00:00,200.6,202.4,199.05,201.75,8329987
13-07-2017 00:00,204.7,205.6,197.7,201.6,11902359
14-07-2017 00:00,205.95,207.4,204,205.8,14793571
17-07-2017 00:00,209.15,209.5,206.15,206.15,9977809
18-07-2017 00:00,207.4,210.4,206.4,207.95,7529525
19-07-2017 00:00,213.45,213.9,207.4,207.5,13700281
20-07-2017 00:00,213.65,214.6,211.3,213.3,6600194
21-07-2017 00:00,214.55,215.6,208,213.4,9896744
24-07-2017 00:00,214.4,215.8,212.15,214.7,7911040
25-07-2017 00:00,220.2,220.9,213.25,215,10567887
26-07-2017 00:00,221.55,222.8,218.75,222,8253006
27-07-2017 00:00,221.25,223.75,219.45,221.75,8395336
28-07-2017 00:00,215.85,219.95,214,219.95,6034925
31-07-2017 00:00,219.65,220.85,215.5,216,5389040
01-08-2017 00:00,225.75,226.65,221.1,221.1,10837725
02-08-2017 00:00,228.2,228.9,222.55,225.6,6397948
03-08-2017 00:00,220.95,227.8,220.2,227.8,10254636
04-08-2017 00:00,225.25,225.9,218.35,218.35,5760887
07-08-2017 00:00,227.65,228.7,224.1,226.35,4951339
08-08-2017 00:00,234.9,244.9,232.3,233,24897407
09-08-2017 00:00,239.45,243.2,237.4,237.7,12844802
10-08-2017 00:00,238,244.8,234.75,239,10897284
11-08-2017 00:00,221,235,218,235,21126006
14-08-2017 00:00,229.15,231.7,223.1,223.1,10891996
16-08-2017 00:00,233.6,236.3,227.15,232.25,10236544
17-08-2017 00:00,230.3,239.5,227.8,236.5,10310147
18-08-2017 00:00,230.05,232.55,225.75,227,10750779
21-08-2017 00:00,224.9,236.5,223.95,233.8,7018024
22-08-2017 00:00,228.9,231.65,225.8,228,12201333
